trail,city
 Zugspitze via Höllental,"Grainau, Bavaria, Germany"
 Herzogstand and Heimgarten,"Kochel , Bavaria, Germany"
 Zugspitze from Garmisch-Partenkirchen Via Ferrata,Naturschutzgebiet Schachen and Reintal
 Höllentalanger Hut via Höllental,"Grainau, Bavaria, Germany"
 Breitenstein via Kesselalm and Bucheralm,"Miesbach, Bavaria, Germany"
 Rubihorn and Lower Gaisalpsee Loop,Naturschutzgebiet Allgäuer Hochalpen
 Tegelberg nach Hohenschwangau,"Schwangau, Bavaria, Germany"
 Schöttelkarspitze Loop,"Krün, Bavaria, Germany"
 Jochbergweg,"Urfeld, Bavaria, Germany"
 Wimbachklamm,Berchtesgaden National Park
 Lusen Rundweg,Bavarian Forest National Park
 Von Tegernsee zum Berggasthof Neureuth über Bayernweg,"Tegernsee, Bavaria, Germany"
 Kampenwand und Sulten ab Aigen,Gebirgskette Chiemgauer Alpen
 Schleierfälle Loop,"Wildsteig, Bavaria, Germany"
 Püttlach,Franconian Switzerland-Franconian Jura Nature Park
 Höllbachgspreng-Falkenstein-Runde,Bavarian Forest National Park
 Brünnstein from Rosengasse,"Oberaudorf, Bavaria, Germany"
 To the Kneifelspitze from Maria Gern,"Berchtesgaden, Bavaria, Germany"
 Rund um den Brombachsee,"Pfofeld, Bavaria, Germany"
 Von Kehlheim durch die Weltenburger Enge zum Tatzelwurm,Naturschutzgebiet Weltenburger Enge/ Donaudurchbruch
s,"Hirschau, Bavaria, Germany"
 Von Tegernsee auf die Kreuzbergalm,"Tegernsee, Bavaria, Germany"
 Altmühltal-Panoramaweg Etappe : Riedenburg nach Kelheim,Naturpark Altmühltal
 Ramsauer Malerweg to Hintersee,"Ramsau b. Berchtesgaden, Bavaria, Germany"
 Die Watzmanntour: Vom Königssee zum Watzmannhaus,Berchtesgaden National Park
 Tegelberg (Abstieg zur Talstation),"Schwangau, Bavaria, Germany"
 Vom Tatzelwurm zum Brünnsteingipfel ,"Oberaudorf, Bavaria, Germany"
 Branderschrofen Via Ferrata,Naturschutzgebiet Ammergebirge
 Wanderung durch die Wimbachklamm,"Ramsau bei Berchtesgaden, Bavaria, Germany"
 Teufelstättkopf and Pürschling,Naturpark Ammergauer Alpen
 Ettaler Mandl circular route from Oberammergau,"Oberammergau, Bavaria, Germany"
